Station Offset to Points Report,,,,
,,,,
Client:,Prepared by:,,,
Client,Preparer,,,
Client Company,Your Company Name,,,
Address 1,123 Main Street,,,
Date: 7/6/2024 8:45:25 AM,,,,
,,,,
,,,,
Alignment Name: massir asli d10,,,,
Description:,,,,
"Station Range: Start: 0+000.00, End: 21+556.62",,,,
,,,,
Point,Station,Offset,Elevation,Description
420,20+140.03,4.674m,"1,270.861m",
421,20+140.03,6.313m,"1,269.587m",
422,20+140.04,7.229m,"1,269.186m",
423,20+140.09,7.578m,"1,269.241m",
424,20+140.00,10.736m,"1,269.115m",
425,20+139.97,14.785m,"1,269.139m",
426,20+119.93,-14.979m,"1,268.080m",
427,20+120.04,-12.481m,"1,267.899m",
428,20+120.03,-11.014m,"1,267.993m",
429,20+120.04,-8.831m,"1,268.733m",
430,20+120.00,-7.271m,"1,268.839m",
431,20+119.99,-7.067m,"1,268.881m",
432,20+120.01,-3.627m,"1,268.913m",
433,20+120.01,-0.289m,"1,268.864m",
434,20+120.02,0.003m,"1,268.817m",
435,20+120.01,1.341m,"1,268.745m",
436,20+120.01,3.387m,"1,270.089m",
437,20+120.01,5.863m,"1,268.718m",
438,20+119.98,7.605m,"1,268.691m",
439,20+119.93,7.924m,"1,268.693m",
440,20+119.98,10.658m,"1,268.596m",
441,20+119.96,13.723m,"1,267.981m",
442,20+119.97,14.956m,"1,267.861m",
443,20+100.02,-14.918m,"1,267.249m",
444,20+100.02,-8.811m,"1,267.706m",
445,20+100.00,-7.418m,"1,267.817m",
446,20+100.01,-3.770m,"1,267.859m",
447,20+100.00,-0.567m,"1,267.768m",
448,20+100.01,-0.307m,"1,267.710m",
449,20+100.01,0.013m,"1,267.690m",
450,20+100.02,5.367m,"1,267.552m",
451,20+100.02,3.015m,"1,267.627m",
452,20+099.98,3.269m,"1,267.600m",
453,20+100.00,6.894m,"1,267.570m",
454,20+099.99,7.363m,"1,267.671m",
455,20+100.02,7.824m,"1,267.624m",
456,20+100.01,10.806m,"1,266.932m",
457,20+100.03,14.971m,"1,267.160m",
458,20+080.01,-15.045m,"1,266.941m",
459,20+080.01,-14.040m,"1,266.519m",
460,20+080.00,-12.704m,"1,266.502m",
461,20+079.99,-12.015m,"1,266.538m",
462,20+079.96,-9.343m,"1,266.801m",
463,20+080.01,-7.793m,"1,266.894m",
464,20+080.00,-8.005m,"1,266.855m",
465,20+080.00,-4.277m,"1,266.898m",
466,20+080.01,-1.066m,"1,266.839m",
467,20+080.02,0.011m,"1,266.817m",
468,20+080.02,0.676m,"1,266.783m",
469,20+080.01,3.870m,"1,266.496m",
470,20+080.01,5.643m,"1,266.290m",
471,20+080.02,9.669m,"1,265.966m",
472,20+080.02,14.181m,"1,265.929m",
473,20+079.99,14.965m,"1,266.068m",
474,20+060.03,-14.952m,"1,265.688m",
475,20+060.00,-11.512m,"1,266.048m",
476,20+060.01,-10.922m,"1,265.998m",
477,20+060.04,-9.630m,"1,265.935m",
478,20+060.03,-6.132m,"1,265.987m",
479,20+059.99,-3.337m,"1,265.940m",
480,20+060.01,0.030m,"1,266.024m",
481,20+060.00,0.661m,"1,266.172m",
482,20+060.00,2.128m,"1,265.216m",
483,20+060.02,4.909m,"1,265.080m",
484,20+060.02,6.697m,"1,265.096m",
485,20+060.02,8.746m,"1,265.245m",
486,20+060.01,11.045m,"1,265.151m",
487,20+060.01,12.325m,"1,265.149m",
488,20+039.99,-14.961m,"1,265.037m",
489,20+040.00,-12.638m,"1,265.012m",
490,20+040.04,-10.625m,"1,264.970m",
491,20+039.96,-9.605m,"1,264.978m",
492,20+039.96,-8.482m,"1,264.971m",
493,20+040.02,-7.553m,"1,264.997m",
494,20+040.08,-5.592m,"1,265.018m",
495,20+040.09,-4.559m,"1,265.025m",
496,20+040.05,-3.681m,"1,265.037m",
497,20+040.01,-2.029m,"1,264.835m",
498,20+040.02,-0.093m,"1,264.660m",
499,20+040.01,0.008m,"1,264.659m",
500,20+039.99,2.292m,"1,264.513m",
501,20+040.02,4.607m,"1,264.530m",
502,20+039.94,3.438m,"1,264.462m",
503,20+039.98,7.625m,"1,264.262m",
504,20+040.01,8.498m,"1,264.346m",
505,20+040.06,11.761m,"1,264.917m",
506,20+040.01,13.056m,"1,264.642m",
507,20+040.02,14.232m,"1,264.773m",
508,20+039.95,14.968m,"1,264.669m",
509,20+040.02,9.988m,"1,264.607m",
510,20+040.00,11.000m,"1,264.806m",
511,20+019.98,-14.898m,"1,263.920m",
512,20+020.05,-11.791m,"1,263.923m",
513,20+019.98,-9.572m,"1,263.867m",
514,20+019.98,-8.473m,"1,263.874m",
515,20+020.03,-8.276m,"1,263.890m",
516,20+020.17,-6.496m,"1,263.913m",
517,20+020.03,-5.276m,"1,263.994m",
518,20+020.02,-3.751m,"1,263.927m",
519,20+020.04,-2.573m,"1,263.910m",
520,20+020.03,-1.217m,"1,263.294m",
521,20+020.07,-0.297m,"1,263.154m",
522,20+019.96,0.004m,"1,263.142m",
523,20+019.85,0.855m,"1,262.863m",
524,20+019.90,1.647m,"1,262.806m",
525,20+019.82,2.151m,"1,262.792m",
526,20+019.90,3.044m,"1,263.249m",
527,20+019.94,3.999m,"1,263.377m",
528,20+019.92,5.132m,"1,263.762m",
529,20+019.96,6.465m,"1,264.206m",
530,20+020.01,7.420m,"1,264.521m",
531,20+020.07,8.854m,"1,264.108m",
532,20+019.91,11.260m,"1,263.365m",
533,20+020.01,13.221m,"1,263.400m",
534,20+020.01,14.832m,"1,263.349m",
535,20+000.06,-15.045m,"1,262.730m",
536,20+000.08,-12.563m,"1,262.778m",
537,20+000.04,-10.122m,"1,262.880m",
538,20+000.09,-9.023m,"1,263.078m",
539,20+000.05,-7.904m,"1,262.665m",
540,19+999.97,-7.253m,"1,262.308m",
541,19+999.87,-5.646m,"1,262.039m",
542,19+999.97,-5.137m,"1,261.962m",
543,19+999.99,-4.242m,"1,261.886m",
544,19+999.96,-3.601m,"1,261.875m",
545,20+000.03,-1.923m,"1,262.347m",
546,19+999.97,-1.170m,"1,262.417m",
547,20+000.01,0.013m,"1,262.501m",
548,20+000.01,0.730m,"1,262.527m",
549,20+000.05,1.594m,"1,262.554m",
550,20+000.09,3.043m,"1,262.473m",
551,20+000.05,3.675m,"1,262.338m",
552,20+000.00,8.054m,"1,262.185m",
553,20+000.00,11.591m,"1,262.453m",
554,20+000.01,13.921m,"1,262.416m",
555,20+000.04,14.913m,"1,262.378m",
556,19+979.94,-14.953m,"1,261.025m",
557,19+979.91,-13.303m,"1,260.989m",
558,19+979.98,-12.696m,"1,260.870m",
559,19+980.00,-10.641m,"1,261.286m",
560,19+980.02,-10.150m,"1,261.214m",
561,19+980.02,-9.861m,"1,261.125m",
562,19+979.96,-2.774m,"1,261.151m",
563,19+980.04,0.056m,"1,261.356m",
564,19+979.93,3.651m,"1,261.556m",
565,19+979.93,5.873m,"1,261.455m",
566,19+979.96,9.244m,"1,261.546m",
567,19+980.00,10.515m,"1,261.644m",
568,19+980.05,11.497m,"1,261.666m",
569,19+979.95,14.843m,"1,261.815m",
570,19+960.01,-15.091m,"1,259.792m",
571,19+960.03,-11.506m,"1,260.017m",
572,19+960.01,-9.270m,"1,260.103m",
573,19+959.90,-6.197m,"1,260.250m",
574,19+960.01,-5.216m,"1,260.193m",
575,19+960.05,-4.543m,"1,260.191m",
576,19+960.00,-2.929m,"1,260.366m",
577,19+959.88,-1.570m,"1,260.516m",
578,19+959.93,0.039m,"1,260.659m",
579,19+959.89,1.912m,"1,260.697m",
580,19+959.88,3.472m,"1,260.743m",
581,19+959.98,5.076m,"1,260.816m",
582,19+959.94,6.898m,"1,260.704m",
583,19+959.92,10.745m,"1,260.981m",
584,19+960.05,12.712m,"1,261.045m",
585,19+960.03,14.897m,"1,261.103m",
586,19+939.99,-14.948m,"1,259.761m",
587,19+939.98,-12.826m,"1,259.361m",
588,19+939.97,-11.194m,"1,258.786m",
589,19+939.97,-10.663m,"1,258.681m",
590,19+939.96,-7.724m,"1,258.725m",
591,19+939.96,-7.275m,"1,258.738m",
592,19+940.05,-9.030m,"1,258.684m",
593,19+939.99,-4.010m,"1,259.037m",
594,19+939.98,-2.786m,"1,259.401m",
595,19+939.90,-1.358m,"1,259.378m",
596,19+940.02,0.028m,"1,259.398m",
597,19+940.01,1.624m,"1,259.587m",
598,19+939.99,2.500m,"1,259.589m",
599,19+939.96,3.172m,"1,259.644m",
600,19+939.95,4.909m,"1,259.713m",
601,19+939.99,6.379m,"1,259.827m",
602,19+939.99,7.224m,"1,259.841m",
603,19+939.95,7.956m,"1,259.796m",
604,19+939.94,10.043m,"1,259.899m",
605,19+939.97,11.746m,"1,259.830m",
606,19+939.99,14.090m,"1,259.956m",
