player_id,arrived_time,departed_time,wait_time
370,14,355,13
371,10,356,44
372,21,356,36
373,22,357,1
374,17,360,19
375,21,360,31
376,19,360,22
377,23,360,0
378,10,361,1
379,4,362,27
380,19,364,19
381,9,365,23
382,14,366,27
383,1,366,31
384,12,368,0
385,3,373,26
386,16,374,22
387,19,375,25
388,11,376,0
389,16,377,15
390,11,377,0
391,24,378,70
392,24,379,0
393,17,379,10
394,24,380,7
395,10,380,33
396,23,381,0
397,3,383,33
398,8,384,61
399,11,384,0
400,12,384,27
401,19,384,33
402,9,385,27
403,22,388,77
404,10,390,50
405,15,392,4
406,20,392,3
407,11,394,35
408,4,395,0
409,13,395,0
410,1,396,30
411,8,396,30
412,4,396,6
413,12,398,0
414,20,399,31
415,3,399,0
416,20,402,73
417,8,402,31
418,7,403,35
419,10,404,8
420,4,408,27
421,14,409,26
422,15,409,33
423,4,409,17
424,9,410,68
425,7,410,86
426,6,411,35
427,11,411,26
428,8,413,10
429,8,414,0
430,3,415,17
431,4,416,0
432,2,416,12
433,20,417,61
434,16,421,31
435,14,421,10
436,16,422,20
437,24,422,35
438,5,422,0
439,16,423,0
440,18,424,28
441,7,424,22
442,12,425,48
443,24,425,37
444,22,426,34
445,21,426,11
446,2,429,30
447,13,430,32
448,8,430,37
449,24,431,29
450,5,432,0
451,16,432,32
452,6,432,16
453,7,432,0
454,18,435,21
455,12,435,0
456,18,438,8
457,12,441,31
458,16,441,48
459,7,441,36
460,8,442,0
461,5,443,14
462,18,443,35
463,17,445,29
464,8,446,12
465,8,448,12
466,24,448,59
467,14,449,1
468,17,452,43
469,11,452,0
470,24,453,33
471,12,455,37
472,13,455,28
473,24,456,24
474,9,458,31
475,23,458,33
476,16,458,20
477,19,459,0
478,17,459,62
479,18,460,27
480,14,461,12
481,22,461,0
482,20,462,20
483,1,462,26
484,15,463,17
485,19,464,20
486,10,466,42
487,23,466,22
488,19,469,26
489,15,469,32
490,4,470,0
491,7,470,27
492,3,470,19
493,8,471,30
494,9,471,33
495,7,472,42
496,21,475,0
497,23,475,19
498,5,475,16
499,12,477,23
500,8,477,0
501,9,480,42
502,17,482,12
503,1,482,35
504,22,483,0
505,19,483,16
506,16,485,0
507,5,486,0
508,7,486,0
509,16,487,45
510,16,487,32
511,11,488,8
512,12,488,32
513,24,489,0
514,8,490,28
515,7,490,7
516,13,490,33
517,6,491,0
518,21,491,0
519,19,493,17
520,8,493,15
521,14,494,32
522,18,497,0
523,1,501,20
524,4,501,3
525,12,501,0
526,23,503,0
527,19,504,37
528,15,505,0
529,23,507,17
530,4,507,0
531,17,507,50
532,4,507,29
533,8,510,24
534,21,512,0
535,22,515,61
536,22,515,0
537,16,517,0
538,20,517,0
539,5,518,29
540,20,519,26
541,12,519,38
542,10,520,64
543,17,521,11
544,1,522,30
545,12,523,0
546,3,524,33
547,14,525,0
548,4,526,26
549,5,527,29
550,2,528,35
551,2,529,0
552,3,530,23
553,22,530,76
554,11,530,0
555,5,531,7
556,11,531,12
557,1,531,22
558,13,533,13
559,22,533,29
560,7,534,23
561,20,537,33
562,23,537,0
563,8,537,21
564,21,537,6
565,8,538,23
566,3,538,32
567,20,538,13
568,2,538,32
569,5,538,23
570,13,539,11
571,15,540,34
572,17,540,26
573,4,540,33
574,20,542,6
575,19,544,25
576,20,545,29
577,15,545,64
578,8,546,0
579,24,547,34
580,19,549,13
581,12,550,28
582,24,550,0
583,19,552,0
584,24,552,0
585,24,552,11
586,6,554,0
587,15,554,4
588,5,557,0
589,10,557,56
590,19,559,18
591,21,560,59
592,6,561,20
593,22,561,11
594,15,561,1
595,8,563,31
596,16,563,19
597,20,566,35
598,6,567,0
599,5,567,31
600,21,568,24
601,16,569,18
602,3,571,0
603,9,571,0
604,22,572,0
605,20,573,73
606,12,573,0
607,13,573,33
608,1,574,0
609,12,574,33
610,20,574,36
611,24,574,27
612,20,579,34
613,13,579,27
614,18,579,45
615,7,581,44
616,16,581,33
617,10,583,18
