player_id,arrived_time,departed_time,wait_time
295,288,1235,21
681,638,1235,22
331,322,1235,15
210,198,1235,51
813,758,1235,26
710,664,1235,16
194,180,1235,33
251,240,1235,21
475,458,1235,38
805,754,1250,0
614,579,1250,16
818,761,1260,0
551,529,1265,28
973,889,1265,6
641,597,1265,14
432,416,1265,10
1104,1006,1265,12
1152,1045,1265,4
986,903,1265,13
1046,948,1265,4
1278,1164,1265,1
943,859,1265,32
954,868,1265,30
885,808,1265,2
533,510,1265,12
247,234,1265,70
407,394,1265,57
649,603,1265,24
883,803,1265,4
789,740,1265,16
894,815,1265,31
932,852,1265,24
574,542,1265,26
1159,1053,1265,3
529,507,1270,26
841,775,1270,20
976,890,1275,7
282,278,1275,32
325,320,1275,32
1027,931,1280,0
363,346,1285,8
7,8,1285,27
937,856,1285,16
1039,938,1285,0
535,515,1285,17
834,772,1295,16
484,463,1300,20
334,324,1300,9
716,668,1300,9
1220,1104,1300,0
1081,979,1310,7
796,746,1310,3
217,206,1310,21
886,809,1310,22
499,477,1310,28
948,862,1310,10
555,531,1310,27
569,538,1310,26
860,790,1310,5
827,767,1310,19
119,107,1310,64
480,461,1310,32
302,293,1310,46
370,355,1310,33
234,225,1310,40
739,693,1310,24
622,586,1310,47
378,361,1310,53
742,696,1310,25
519,493,1310,45
1232,1118,1310,9
352,337,1310,47
476,458,1310,33
248,234,1310,48
1221,1105,1310,1
663,619,1310,22
968,884,1310,18
128,117,1310,43
561,537,1310,27
651,605,1310,13
1317,1203,1310,2
836,773,1315,0
637,594,1315,18
1283,1170,1320,0
516,490,1320,37
155,143,1320,48
613,579,1320,20
738,693,1320,17
767,715,1325,23
361,344,1325,49
734,690,1325,28
1038,938,1325,9
791,742,1325,9
1133,1027,1325,0
879,801,1330,6
408,395,1330,37
278,272,1330,32
760,711,1330,14
530,507,1330,15
812,757,1335,17
868,795,1335,9
591,560,1335,8
364,346,1355,32
909,831,1355,15
446,429,1355,17
1047,949,1355,22
1087,984,1355,15
832,770,1355,7
170,156,1355,61
1202,1085,1355,4
1210,1088,1355,4
1374,1239,1355,4
560,534,1355,26
615,581,1355,16
563,537,1355,25
863,792,1355,45
332,322,1355,60
338,326,1355,59
1134,1028,1355,16
291,285,1355,58
1199,1083,1355,15
646,602,1355,32
695,649,1355,23
942,859,1355,11
1154,1047,1355,22
978,891,1355,24
891,812,1355,20
241,229,1355,40
273,264,1355,33
763,713,1355,21
301,292,1355,36
859,789,1355,25
449,431,1355,38
97,86,1355,59
1059,961,1365,11
726,676,1365,18
731,683,1365,17
459,441,1365,37
1074,974,1365,19
513,489,1365,68
326,321,1365,63
437,422,1365,62
579,547,1365,56
470,453,1365,46
611,574,1365,22
256,245,1370,26
854,783,1370,20
790,741,1375,18
873,799,1375,7
884,806,1375,5
266,259,1380,36
1004,914,1380,24
411,396,1380,28
842,775,1380,2
277,272,1380,56
521,494,1380,31
421,409,1380,29
804,752,1385,17
512,488,1385,31
1379,1242,1390,0
1212,1095,1395,0
168,155,1400,39
460,442,1400,34
330,322,1400,28
359,344,1400,24
602,571,1400,36
644,601,1400,20
336,324,1400,47
345,332,1400,44
213,203,1400,50
1409,1280,1400,4
491,470,1400,29
935,854,1400,41
616,581,1400,46
1160,1053,1400,20
671,628,1400,45
290,283,1400,65
1031,932,1400,24
406,392,1400,55
307,306,1400,53
482,462,1400,41
414,399,1400,35
956,870,1400,18
501,480,1400,44
1066,967,1400,27
939,857,1400,20
395,380,1400,65
748,702,1400,30
1032,934,1400,34
822,763,1400,49
824,764,1400,49
881,802,1400,41
373,357,1400,42
761,711,1400,38
880,801,1400,20
692,647,1400,32
947,862,1400,18
1338,1211,1400,8
372,356,1400,32
1051,953,1400,21
1422,1293,1400,2
1349,1220,1400,16
1130,1025,1400,15
1196,1082,1400,4
743,696,1400,41
462,443,1400,24
1026,930,1400,5
1139,1030,1405,16
1246,1133,1405,6
219,210,1410,20
771,716,1410,9
240,228,1410,17
1345,1216,1415,0
531,507,1420,55
478,459,1420,26
1376,1241,1440,0
931,849,1445,20
