Note,Latitude,Longitude,Ell.Height (m)
114,32.41827128,55.32548946,1138.787
115,32.41810301,55.32541818,1138.837
116,32.41793669,55.32534713,1138.77
117,32.41785162,55.32528187,1138.824
118,32.41796181,55.32510431,1138.375
119,32.41807083,55.32499565,1138.412
120,32.4182444,55.32505511,1138.008
121,32.41842102,55.32512761,1137.763
122,32.41859604,55.3252007,1138.127
123,32.41876486,55.32527227,1138.51
124,32.41893147,55.32534335,1138.402
125,32.41909893,55.32541449,1138.059
126,32.41927059,55.32548696,1137.896
127,32.41944058,55.32555871,1137.804
128,32.41960874,55.32562962,1137.631
129,32.41977683,55.32570009,1137.595
130,32.41991658,55.32572767,1137.743
131,32.42004351,55.32557454,1137.359
132,32.42011554,55.32543798,1137.684
133,32.41994444,55.32534996,1137.773
134,32.41977003,55.32527379,1137.611
135,32.41960133,55.32520268,1137.789
136,32.41943392,55.3251322,1138.093
137,32.41926328,55.325061,1138.29
138,32.41909533,55.32499051,1138.512
139,32.41892371,55.32491791,1138.745
140,32.41875416,55.32484634,1139.009
141,32.41858638,55.32477568,1139.092
142,32.41841702,55.32470403,1139.223
143,32.41832293,55.32463494,1139.422
144,32.41843365,55.32445722,1138.968
145,32.4185441,55.32434701,1139.274
146,32.41871733,55.32440665,1139.123
147,32.41889507,55.32447963,1138.921
148,32.41906566,55.32455166,1139.203
149,32.41923426,55.32462331,1139.099
150,32.41940206,55.32469389,1138.915
151,32.41957295,55.32476637,1138.677
152,32.41974134,55.32483745,1138.419
153,32.41991036,55.32490941,1138.302
154,32.42007917,55.32498032,1138.352
155,32.42024803,55.32505143,1138.241
156,32.42038918,55.32507947,1138.292
157,32.42051589,55.32492561,1137.792
158,32.42058694,55.32478996,1137.783
159,32.42041633,55.32470281,1137.898
160,32.42024043,55.32462572,1137.858
161,32.42007121,55.32455352,1138.215
162,32.41990244,55.32448252,1138.545
163,32.4197337,55.32441185,1138.684
164,32.41956291,55.32433999,1138.782
165,32.41939459,55.32426879,1138.937
166,32.41922636,55.32419727,1139.028
167,32.41905571,55.3241255,1139.088
168,32.41888943,55.32405511,1139.129
169,32.41879263,55.32398452,1139.325
170,32.41890149,55.32380923,1138.894
171,32.41901442,55.32369561,1138.97
172,32.41918589,55.32375518,1138.678
173,32.41936345,55.32382898,1138.287
174,32.41953515,55.32390116,1138.433
175,32.41970272,55.32397238,1138.309
176,32.41987425,55.32404493,1138.392
177,32.42004243,55.32411625,1138.408
178,32.42021072,55.32418701,1138.28
179,32.42038217,55.32425931,1138.198
180,32.42055024,55.32433003,1138.075
181,32.42071844,55.32440116,1137.792
182,32.42086002,55.32442857,1137.915
183,32.420987,55.32427337,1137.907
184,32.421057,55.32413752,1138.196
185,32.42088659,55.3240514,1138.172
186,32.4207098,55.32397478,1138.259
187,32.42054304,55.32390446,1138.352
188,32.42037276,55.3238326,1138.363
189,32.42020308,55.32376143,1138.592
190,32.42003187,55.32368951,1138.817
191,32.41986222,55.32361835,1138.926
192,32.4196923,55.32354678,1139.106
193,32.41952311,55.32347539,1139.398
194,32.4193547,55.32340381,1139.393
195,32.41926155,55.32333559,1139.476
196,32.41937064,55.32315873,1139.043
197,32.41948035,55.32304829,1139.251
198,32.4196556,55.32310752,1138.973
199,32.41983032,55.32317961,1138.704
200,32.42000296,55.32325197,1138.712
201,32.42017097,55.32332245,1138.553
202,32.42034224,55.32339479,1138.493
203,32.42050916,55.32346603,1138.328
204,32.4206791,55.32353757,1138.308
205,32.42085102,55.32361025,1138.573
206,32.42101878,55.32368094,1138.602
207,32.42118744,55.32375204,1138.53
208,32.42132639,55.32377877,1138.511
209,32.42145303,55.32362574,1138.261
210,32.421524,55.32348984,1138.319
211,32.42135593,55.32340283,1138.303
212,32.42117974,55.32332641,1138.13
213,32.42101053,55.3232545,1138.305
214,32.42084186,55.32318329,1138.528
215,32.42067388,55.3231119,1138.851
216,32.4205022,55.3230402,1139.054
217,32.42033167,55.32296831,1139.25
218,32.42016345,55.32289756,1139.198
219,32.41999507,55.32282714,1139.188
220,32.41982601,55.32275567,1139.378
221,32.41973173,55.32268667,1139.515
222,32.41984027,55.32251054,1139.243
223,32.41995175,55.322399,1139.446
224,32.42012507,55.32245834,1139.073
225,32.42030026,55.32252937,1138.677
226,32.42047091,55.32260134,1138.801
227,32.42064123,55.32267404,1138.771
228,32.42080893,55.322745,1138.75
229,32.42097731,55.32281601,1138.584
230,32.42114816,55.32288848,1138.444
231,32.4213176,55.32295991,1138.339
232,32.42148635,55.32303094,1138.41
233,32.42165728,55.32310287,1138.335
234,32.42179705,55.32312968,1138.493
235,32.42192353,55.32297399,1138.385
236,32.42199344,55.32283887,1138.684
237,32.42182278,55.32275282,1138.657
238,32.42164874,55.32267689,1138.655
239,32.42147911,55.32260395,1139.103
240,32.42130859,55.32253313,1139.579
241,32.4211412,55.32246308,1139.757
242,32.42097334,55.32239247,1139.937
243,32.42080356,55.32232032,1140.134
244,32.42063496,55.32224912,1140.383
245,32.42046498,55.32217673,1140.636
246,32.42029658,55.32210555,1140.836
247,32.42020249,55.32203654,1140.941
248,32.42031137,55.32186099,1140.15
249,32.42042274,55.32175031,1140.039
250,32.4205951,55.32180868,1139.557
251,32.42077218,55.32188166,1139.128
252,32.42094335,55.32195369,1139.301
253,32.42111479,55.32202612,1139.46
254,32.42128205,55.3220966,1139.311
255,32.42144986,55.32216755,1139.059
256,32.42161992,55.3222391,1138.943
257,32.42178942,55.32231119,1138.986
258,32.42196255,55.32238404,1139.087
259,32.4221309,55.3224549,1139.02
260,32.42226869,55.32248078,1139.033
261,32.42239522,55.32232643,1138.917
262,32.42246501,55.32219108,1139.124
263,32.4222961,55.32210518,1139.13
264,32.42211873,55.32202744,1139.34
265,32.42194903,55.32195493,1139.707
266,32.42177812,55.3218836,1139.987
267,32.42160996,55.32181302,1140.072
268,32.4214415,55.32174174,1140.138
269,32.42127298,55.32167103,1140.249
270,32.42110142,55.32159821,1140.253
271,32.42093204,55.32152665,1140.189
272,32.42076612,55.32145607,1140.189
273,32.42067086,55.32138664,1140.219
274,32.42077918,55.32121042,1140.095
275,32.42089038,55.32110007,1140.549
276,32.42106346,55.32115913,1140.381
277,32.42124052,55.32123265,1140.028
278,32.42141143,55.3213044,1140.261
279,32.42157963,55.32137532,1140.238
280,32.42174981,55.32144697,1140.127
281,32.42192108,55.32151958,1139.995
282,32.4220896,55.32159122,1139.854
283,32.42225816,55.32166276,1139.568
284,32.42242688,55.32173363,1139.194
285,32.42259551,55.32180423,1138.989
286,32.42273373,55.32183152,1139.016
287,32.42286106,55.32167752,1138.852
288,32.42293034,55.32154009,1139.018
289,32.42276134,55.32145391,1139.065
290,32.42258523,55.32137792,1138.969
291,32.4224159,55.32130594,1139.183
292,32.42224842,55.32123553,1139.317
293,32.42207697,55.3211631,1139.423
294,32.42190893,55.32109236,1139.441
295,32.42174009,55.32102155,1139.58
296,32.42156844,55.32094905,1139.779
297,32.42140006,55.32087766,1139.978
298,32.42123116,55.32080629,1140.258
299,32.42113936,55.32073888,1140.263
300,32.42124911,55.32056105,1140.112
301,32.42135908,55.32045066,1140.412
302,32.42153378,55.32051139,1140.08
303,32.42170838,55.32058393,1139.836
304,32.42187865,55.32065573,1140.093
305,32.42204624,55.3207261,1140.108
306,32.42221698,55.32079866,1140.02
307,32.4223859,55.32086989,1139.965
308,32.42255365,55.32094099,1139.903
309,32.42272504,55.32101318,1139.738
310,32.42289414,55.32108455,1139.589
311,32.4230628,55.32115565,1139.488
312,32.42320378,55.32118252,1139.572
313,32.42333107,55.32102683,1139.455
314,32.42340043,55.32089231,1139.565
315,32.42323107,55.32080505,1139.751
316,32.42305545,55.320729,1139.805
317,32.42288628,55.32065723,1140.135
318,32.42271826,55.32058689,1140.208
319,32.42254869,55.32051606,1140.32
320,32.42237981,55.32044469,1140.51
321,32.42220999,55.32037263,1140.733
322,32.42203786,55.32029956,1140.981
323,32.42186918,55.32022822,1141.012
324,32.42170062,55.32015709,1141.086
325,32.42160784,55.32008898,1141.122
326,32.42171534,55.31991127,1141.001
327,32.42182513,55.31979994,1141.303
328,32.42200063,55.31986012,1141.092
329,32.42217482,55.31993147,1140.805
330,32.42234784,55.32000427,1140.826
331,32.422516,55.32007504,1140.805
332,32.42268461,55.32014605,1140.543
333,32.42285449,55.32021756,1140.42
334,32.42302435,55.32028946,1140.441
335,32.42319347,55.32036097,1140.399
336,32.42336234,55.32043196,1140.248
337,32.42353394,55.32050386,1140.242
338,32.42367493,55.3205304,1140.407
339,32.42380073,55.32037746,1140.317
340,32.42387092,55.32024127,1140.544
341,32.42369792,55.32015267,1140.61
342,32.42352661,55.32007835,1140.587
343,32.42335543,55.32000576,1140.803
344,32.42318574,55.31993472,1141.028
345,32.42301783,55.31986424,1141.243
346,32.42284694,55.31979232,1141.458
347,32.4226782,55.31972116,1141.758
348,32.42250904,55.31965005,1141.803
349,32.42234011,55.3195788,1141.814
350,32.42217068,55.31950714,1142.1
351,32.42207354,55.31943579,1142.29
352,32.42218252,55.31925822,1141.909
353,32.422291,55.3191478,1142.304
354,32.42246464,55.31920688,1142.152
355,32.4226425,55.31928045,1141.756
356,32.42281351,55.31935287,1141.763
357,32.42298284,55.31942468,1141.647
358,32.42315089,55.3194958,1141.564
359,32.42332268,55.31956827,1141.403
360,32.42349198,55.31963978,1141.368
361,32.42366078,55.3197108,1141.336
362,32.42383145,55.31978267,1141.076
363,32.42400023,55.31985342,1140.839
364,32.42414653,55.31988309,1140.794
365,32.42427274,55.31972901,1140.661
366,32.42434227,55.31959312,1140.907
367,32.42417213,55.31950657,1140.968
368,32.42399624,55.31943039,1140.965
