run_id,scenario_type,scenario_param,T,L,C,p,h,w,s,demand_volatility,optimal_cost,collection_cost,holding_cost,shortage_cost,waste_cost,total_collected,total_shortage,total_waste,total_demand,service_level,shortage_frequency,avg_inventory
55,volatility,sigma_0.05,14,3,30.0,20.0,2.0,5.0,200.0,86.27628259710492,151546.0,8000.0,146.0,143400.0,0.0,400.0,717.0,0.0,1117.0,0.35810205908683973,0.5,5.214285714285714
56,volatility,sigma_0.05,14,3,30.0,20.0,2.0,5.0,200.0,87.29135473942938,149552.0,8000.0,152.0,141400.0,0.0,400.0,707.0,0.0,1107.0,0.36133694670280037,0.5714285714285714,5.428571428571429
57,volatility,sigma_0.05,14,3,30.0,20.0,2.0,5.0,200.0,82.63310227648925,145546.0,8000.0,146.0,137400.0,0.0,400.0,687.0,0.0,1087.0,0.36798528058877644,0.5,5.214285714285714
58,volatility,sigma_0.05,14,3,30.0,20.0,2.0,5.0,200.0,84.34997550294213,145922.0,7980.0,142.0,137800.0,0.0,399.0,689.0,0.0,1088.0,0.36672794117647056,0.5,5.071428571428571
59,volatility,sigma_0.05,14,3,30.0,20.0,2.0,5.0,200.0,88.7429502805141,151534.0,8000.0,134.0,143400.0,0.0,400.0,717.0,0.0,1117.0,0.35810205908683973,0.6428571428571429,4.785714285714286
60,volatility,sigma_0.05,14,3,30.0,20.0,2.0,5.0,200.0,86.5927896795674,147332.0,7980.0,152.0,139200.0,0.0,399.0,696.0,0.0,1095.0,0.3643835616438356,0.5714285714285714,5.428571428571429
61,volatility,sigma_0.05,14,3,30.0,20.0,2.0,5.0,200.0,83.45376331984615,145358.0,8000.0,158.0,137200.0,0.0,400.0,686.0,0.0,1086.0,0.3683241252302026,0.5,5.642857142857143
62,volatility,sigma_0.05,14,3,30.0,20.0,2.0,5.0,200.0,92.82826474029275,156754.0,8000.0,154.0,148600.0,0.0,400.0,743.0,0.0,1143.0,0.34995625546806647,0.5714285714285714,5.5
63,volatility,sigma_0.05,14,3,30.0,20.0,2.0,5.0,200.0,86.99894439894436,150724.0,7980.0,144.0,142600.0,0.0,399.0,713.0,0.0,1112.0,0.35881294964028776,0.5,5.142857142857143
64,volatility,sigma_0.05,14,3,30.0,20.0,2.0,5.0,200.0,88.62581855354406,156344.0,8000.0,144.0,148200.0,0.0,400.0,741.0,0.0,1141.0,0.35056967572305,0.5,5.142857142857143
65,volatility,sigma_0.05,14,3,30.0,20.0,2.0,5.0,200.0,86.21768841669538,149968.0,8020.0,148.0,141800.0,0.0,401.0,709.0,0.0,1110.0,0.36126126126126124,0.5,5.285714285714286
66,volatility,sigma_0.05,14,3,30.0,20.0,2.0,5.0,200.0,86.00536884048434,149330.0,7980.0,150.0,141200.0,0.0,399.0,706.0,0.0,1105.0,0.3610859728506787,0.5,5.357142857142857
67,volatility,sigma_0.05,14,3,30.0,20.0,2.0,5.0,200.0,77.25524221034837,137156.0,8000.0,156.0,129000.0,0.0,400.0,645.0,0.0,1045.0,0.3827751196172249,0.5714285714285714,5.571428571428571
68,volatility,sigma_0.05,14,3,30.0,20.0,2.0,5.0,200.0,82.98072680091542,144756.0,8000.0,156.0,136600.0,0.0,400.0,683.0,0.0,1083.0,0.36934441366574333,0.5,5.571428571428571
69,volatility,sigma_0.05,14,3,30.0,20.0,2.0,5.0,200.0,90.14274394378222,154950.0,8000.0,150.0,146800.0,0.0,400.0,734.0,0.0,1134.0,0.3527336860670194,0.5,5.357142857142857
70,volatility,sigma_0.05,14,3,30.0,20.0,2.0,5.0,200.0,80.20064125144422,138164.0,8000.0,164.0,130000.0,0.0,400.0,650.0,0.0,1050.0,0.38095238095238093,0.5,5.857142857142857
71,volatility,sigma_0.05,14,3,30.0,20.0,2.0,5.0,200.0,86.34248959929336,148934.0,7980.0,154.0,140800.0,0.0,399.0,704.0,0.0,1103.0,0.3617407071622847,0.5714285714285714,5.5
72,volatility,sigma_0.05,14,3,30.0,20.0,2.0,5.0,200.0,85.0063923166598,150350.0,8000.0,150.0,142200.0,0.0,400.0,711.0,0.0,1111.0,0.36003600360036003,0.5,5.357142857142857
73,volatility,sigma_0.05,14,3,30.0,20.0,2.0,5.0,200.0,84.62257140879576,149928.0,7980.0,148.0,141800.0,0.0,399.0,709.0,0.0,1108.0,0.3601083032490975,0.5714285714285714,5.285714285714286
74,volatility,sigma_0.05,14,3,30.0,20.0,2.0,5.0,200.0,80.72528370078007,143736.0,8000.0,136.0,135600.0,0.0,400.0,678.0,0.0,1078.0,0.37105751391465674,0.5,4.857142857142857
75,volatility,sigma_0.05,14,3,30.0,20.0,2.0,5.0,200.0,89.35200396322904,154766.0,8000.0,166.0,146600.0,0.0,400.0,733.0,0.0,1133.0,0.353045013239188,0.5,5.928571428571429
76,volatility,sigma_0.05,14,3,30.0,20.0,2.0,5.0,200.0,85.9840991470077,149136.0,7980.0,156.0,141000.0,0.0,399.0,705.0,0.0,1104.0,0.36141304347826086,0.5,5.571428571428571
77,volatility,sigma_0.05,14,3,30.0,20.0,2.0,5.0,200.0,81.7084163726262,141538.0,7980.0,158.0,133400.0,0.0,399.0,667.0,0.0,1066.0,0.37429643527204504,0.5,5.642857142857143
78,volatility,sigma_0.05,14,3,30.0,20.0,2.0,5.0,200.0,87.54605202114939,151728.0,7980.0,148.0,143600.0,0.0,399.0,718.0,0.0,1117.0,0.35720680393912263,0.6428571428571429,5.285714285714286
