NUtime_s,vehicle_id,node,finished,travel_time_s
34.0,8,8,False,35.0
34.0,9,9,False,35.0
34.0,10,10,False,35.0
35.0,1,10,False,36.0
35.0,2,2,False,36.0
35.0,3,3,False,36.0
35.0,4,4,False,36.0
35.0,5,5,False,36.0
35.0,6,6,False,36.0
35.0,7,7,False,36.0
35.0,8,8,False,36.0
35.0,9,9,False,36.0
35.0,10,10,False,36.0
36.0,1,10,False,37.0
36.0,2,2,False,37.0
36.0,3,3,False,37.0
36.0,4,4,False,37.0
36.0,5,5,False,37.0
36.0,6,6,False,37.0
36.0,7,7,False,37.0
36.0,8,8,False,37.0
36.0,9,9,False,37.0
36.0,10,10,False,37.0
37.0,1,10,False,38.0
37.0,2,2,False,38.0
37.0,3,3,False,38.0
37.0,4,4,False,38.0
37.0,5,5,False,38.0
37.0,6,6,False,38.0
37.0,7,7,False,38.0
37.0,8,8,False,38.0
37.0,9,9,False,38.0
37.0,10,10,False,38.0
38.0,1,10,False,39.0
38.0,2,2,False,39.0
38.0,3,3,False,39.0
38.0,4,4,False,39.0
38.0,5,5,False,39.0
38.0,6,6,False,39.0
38.0,7,7,False,39.0
38.0,8,8,False,39.0
38.0,9,9,False,39.0
38.0,10,10,False,39.0
39.0,1,10,False,40.0
39.0,2,2,False,40.0
39.0,3,3,False,40.0
39.0,4,4,False,40.0
39.0,5,5,False,40.0
39.0,6,6,False,40.0
39.0,7,7,False,40.0
39.0,8,8,False,40.0
39.0,9,9,False,40.0
39.0,10,10,False,40.0
40.0,1,10,False,41.0
40.0,2,2,False,41.0
40.0,3,3,False,41.0
40.0,4,4,False,41.0
40.0,5,5,False,41.0
40.0,6,6,False,41.0
40.0,7,7,False,41.0
40.0,8,8,False,41.0
40.0,9,9,False,41.0
40.0,10,10,False,41.0
41.0,1,10,False,42.0
41.0,2,2,False,42.0
41.0,3,3,False,42.0
41.0,4,4,False,42.0
41.0,5,5,False,42.0
41.0,6,6,False,42.0
41.0,7,7,False,42.0
41.0,8,8,False,42.0
41.0,9,9,False,42.0
41.0,10,10,False,42.0
42.0,1,10,False,43.0
42.0,2,2,False,43.0
42.0,3,3,False,43.0
42.0,4,4,False,43.0
42.0,5,5,False,43.0
42.0,6,6,False,43.0
42.0,7,7,False,43.0
42.0,8,8,False,43.0
42.0,9,9,False,43.0
42.0,10,10,False,43.0
43.0,1,10,False,44.0
43.0,2,2,False,44.0
43.0,3,3,False,44.0
43.0,4,4,False,44.0
43.0,5,5,False,44.0
43.0,6,6,False,44.0
43.0,7,7,False,44.0
43.0,8,8,False,44.0
43.0,9,9,False,44.0
43.0,10,10,False,44.0
44.0,1,10,False,45.0
44.0,2,2,False,45.0
44.0,3,3,False,45.0
44.0,4,4,False,45.0
44.0,5,5,False,45.0
44.0,6,6,False,45.0
44.0,7,7,False,45.0
44.0,8,8,False,45.0
44.0,9,9,False,45.0
44.0,10,10,False,45.0
45.0,1,10,False,46.0
45.0,2,2,False,46.0
45.0,3,3,False,46.0
45.0,4,4,False,46.0
45.0,5,5,False,46.0
45.0,6,6,False,46.0
45.0,7,7,False,46.0
45.0,8,8,False,46.0
45.0,9,9,False,46.0
45.0,10,10,False,46.0
46.0,1,10,False,47.0
46.0,2,2,False,47.0
46.0,3,3,False,47.0
46.0,4,4,False,47.0
46.0,5,5,False,47.0
46.0,6,6,False,47.0
46.0,7,7,False,47.0
46.0,8,8,False,47.0
46.0,9,9,False,47.0
46.0,10,10,False,47.0
47.0,1,10,False,48.0
47.0,2,2,False,48.0
47.0,3,3,False,48.0
47.0,4,4,False,48.0
47.0,5,5,False,48.0
47.0,6,6,False,48.0
47.0,7,7,False,48.0
47.0,8,8,False,48.0
47.0,9,9,False,48.0
47.0,10,10,False,48.0
48.0,1,10,False,49.0
