
 PEER Ground Motion Database, Time Series Search Report -- NGA-West2 -- 2024-03-04


 -- Summary of PEER Ground Motion Database Search Criteria --
Magnitude Min:, 6.24
Magnitude Max:, 7.68
Rrup Min (km):, -1.0e-06
Rrup Max (km):, 99999
Rjb Min (km):, -1.0e-06
Rjb Max (km):, 99999
Vs30 Min (m/sec):, -1.0e-06
Vs30 Max (m/sec):, 99999
D9-95 Min (sec):, -1.0e-06
D9-95 Max (sec):, 99999
Scale Factor Min:, -1.0e-06
Scale Factor Max:, 99999
Period Array:, 
Weight Array:, 
Record Sequence Number:, 
Earthquake Name:, 
Station Name:, 
User-Defined Maximum Number of Records:, 
Pulse:, 1
Damping Ratio:, 0.05
Scaling Method:, No Scaling
Suite Average:, Arithmetic
Single-Period-Scaling Period (sec):, 
Component:, SRSS
Fault Type:, All Types


 -- Summary of Metadata of Selected Records --
Result ID, Spectral Ordinate, Record Sequence Number, Mean Squared Error, Scale Factor, Tp-Pulse Period (sec), 5-75% Duration (sec), 5-95% Duration (sec), Arias Intensity (m/sec), Earthquake Name, Year, Station Name, Magnitude, Mechanism, Rjb (km), Rrup (km), Vs30 (m/sec), Lowest Useable Frequency (Hz), Initial-search Scale Factor, Horizontal-1 Acc. Filename, Horizontal-2 Acc. Filename, Vertical Acc. Filename
72, SRSS, 142, -, 1.0, -, 22.7, 30.1, 0.0, "Tabas_ Iran", 1978, "Sedeh", 7.35, Reverse, 150.33, 151.16, 354.37, 0.15625, 1.0, RSN142_TABAS_SED-L1.AT2, RSN142_TABAS_SED-T1.AT2 , RSN142_TABAS_SED-V1.AT2  
73, SRSS, 143, -, 1.0, 6.188, 8.3, 16.5, 11.8, "Tabas_ Iran", 1978, "Tabas", 7.35, Reverse, 1.79, 2.05, 766.77, 0.125, 1.0, RSN143_TABAS_TAB-L1.AT2, RSN143_TABAS_TAB-T1.AT2 , RSN143_TABAS_TAB-V1.AT2  
74, SRSS, 158, -, 1.0, -, 6.1, 9.8, 1.2, "Imperial Valley-06", 1979, "Aeropuerto Mexicali", 6.53, strike slip, 0.0, 0.34, 259.86, 0.2875, 1.0, RSN158_IMPVALL.H_H-AEP045.AT2, RSN158_IMPVALL.H_H-AEP315.AT2 , RSN158_IMPVALL.H_H-AEP-UP.AT2  
75, SRSS, 159, -, 1.0, 2.338, 6.7, 13.3, 1.0, "Imperial Valley-06", 1979, "Agrarias", 6.53, strike slip, 0.0, 0.65, 242.05, 0.1625, 1.0, RSN159_IMPVALL.H_H-AGR003.AT2, RSN159_IMPVALL.H_H-AGR273.AT2 , RSN159_IMPVALL.H_H-AGRDWN.AT2  
76, SRSS, 160, -, 1.0, -, 6.1, 9.7, 6.1, "Imperial Valley-06", 1979, "Bonds Corner", 6.53, strike slip, 0.44, 2.66, 223.03, 0.125, 1.0, RSN160_IMPVALL.H_H-BCR140.AT2, RSN160_IMPVALL.H_H-BCR230.AT2 , RSN160_IMPVALL.H_H-BCR-UP.AT2  
77, SRSS, 161, -, 1.0, 4.396, 5.3, 14.9, 0.4, "Imperial Valley-06", 1979, "Brawley Airport", 6.53, strike slip, 8.54, 10.42, 208.71, 0.05375, 1.0, RSN161_IMPVALL.H_H-BRA225.AT2, RSN161_IMPVALL.H_H-BRA315.AT2 , RSN161_IMPVALL.H_H-BRA-UP.AT2  
78, SRSS, 162, -, 1.0, -, 7.2, 14.8, 0.9, "Imperial Valley-06", 1979, "Calexico Fire Station", 6.53, strike slip, 10.45, 10.45, 231.23, 0.05, 1.0, RSN162_IMPVALL.H_H-CXO225.AT2, RSN162_IMPVALL.H_H-CXO315.AT2 , RSN162_IMPVALL.H_H-CXO-UP.AT2  
79, SRSS, 163, -, 1.0, -, 12.2, 25.9, 0.1, "Imperial Valley-06", 1979, "Calipatria Fire Station", 6.53, strike slip, 23.17, 24.6, 205.78, 0.0875, 1.0, RSN163_IMPVALL.H_H-CAL225.AT2, RSN163_IMPVALL.H_H-CAL315.AT2 , RSN163_IMPVALL.H_H-CAL-UP.AT2  
80, SRSS, 164, -, 1.0, -, 19.7, 36.4, 1.3, "Imperial Valley-06", 1979, "Cerro Prieto", 6.53, strike slip, 15.19, 15.19, 471.53, 0.1125, 1.0, RSN164_IMPVALL.H_H-CPE147.AT2, RSN164_IMPVALL.H_H-CPE237.AT2 , RSN164_IMPVALL.H_H-CPEDWN.AT2  
81, SRSS, 165, -, 1.0, -, 13.2, 24.0, 1.2, "Imperial Valley-06", 1979, "Chihuahua", 6.53, strike slip, 7.29, 7.29, 242.05, 0.225, 1.0, RSN165_IMPVALL.H_H-CHI012.AT2, RSN165_IMPVALL.H_H-CHI282.AT2 , RSN165_IMPVALL.H_H-CHIDWN.AT2  
82, SRSS, 166, -, 1.0, -, 4.7, 11.1, 0.2, "Imperial Valley-06", 1979, "Coachella Canal #4", 6.53, strike slip, 49.1, 50.1, 336.49, 0.1375, 1.0, RSN166_IMPVALL.H_H-CC4045.AT2, RSN166_IMPVALL.H_H-CC4135.AT2 , RSN166_IMPVALL.H_H-CC4-UP.AT2  
83, SRSS, 167, -, 1.0, -, 13.4, 28.7, 0.4, "Imperial Valley-06", 1979, "Compuertas", 6.53, strike slip, 13.52, 15.3, 259.86, 0.15, 1.0, RSN167_IMPVALL.H_H-CMP015.AT2, RSN167_IMPVALL.H_H-CMP285.AT2 , RSN167_IMPVALL.H_H-CMPDWN.AT2  
84, SRSS, 169, -, 1.0, -, 24.4, 51.4, 3.3, "Imperial Valley-06", 1979, "Delta", 6.53, strike slip, 22.03, 22.03, 242.05, 0.0875, 1.0, RSN169_IMPVALL.H_H-DLT262.AT2, RSN169_IMPVALL.H_H-DLT352.AT2 , RSN169_IMPVALL.H_H-DLTDWN.AT2  
85, SRSS, 170, -, 1.0, 4.417, 4.7, 13.2, 0.8, "Imperial Valley-06", 1979, "EC County Center FF", 6.53, strike slip, 7.31, 7.31, 192.05, 0.075, 1.0, RSN170_IMPVALL.H_H-ECC002.AT2, RSN170_IMPVALL.H_H-ECC092.AT2 , RSN170_IMPVALL.H_H-ECC-UP.AT2  
86, SRSS, 171, -, 1.0, 3.423, 2.3, 8.2, 1.1, "Imperial Valley-06", 1979, "El Centro - Meloland Geot. Array", 6.53, strike slip, 0.07, 0.07, 264.57, 0.1, 1.0, RSN171_IMPVALL.H_H-EMO000.AT2, RSN171_IMPVALL.H_H-EMO270.AT2 , RSN171_IMPVALL.H_H-EMO-UP.AT2  
87, SRSS, 172, -, 1.0, -, 7.0, 19.5, 0.3, "Imperial Valley-06", 1979, "El Centro Array #1", 6.53, strike slip, 19.76, 21.68, 237.33, 0.1125, 1.0, RSN172_IMPVALL.H_H-E01140.AT2, RSN172_IMPVALL.H_H-E01230.AT2 , RSN172_IMPVALL.H_H-E01-UP.AT2  
88, SRSS, 173, -, 1.0, 4.515, 5.3, 12.8, 0.7, "Imperial Valley-06", 1979, "El Centro Array #10", 6.53, strike slip, 8.6, 8.6, 202.85, 0.075, 1.0, RSN173_IMPVALL.H_H-E10050.AT2, RSN173_IMPVALL.H_H-E10320.AT2 , RSN173_IMPVALL.H_H-E10-UP.AT2  
89, SRSS, 174, -, 1.0, -, 4.6, 9.0, 2.0, "Imperial Valley-06", 1979, "El Centro Array #11", 6.53, strike slip, 12.56, 12.56, 196.25, 0.1, 1.0, RSN174_IMPVALL.H_H-E11140.AT2, RSN174_IMPVALL.H_H-E11230.AT2 , RSN174_IMPVALL.H_H-E11-UP.AT2  
90, SRSS, 175, -, 1.0, -, 9.7, 19.6, 0.4, "Imperial Valley-06", 1979, "El Centro Array #12", 6.53, strike slip, 17.94, 17.94, 196.88, 0.0875, 1.0, RSN175_IMPVALL.H_H-E12140.AT2, RSN175_IMPVALL.H_H-E12230.AT2 , RSN175_IMPVALL.H_H-E12-UP.AT2  
91, SRSS, 176, -, 1.0, -, 8.9, 21.6, 0.3, "Imperial Valley-06", 1979, "El Centro Array #13", 6.53, strike slip, 21.98, 21.98, 249.92, 0.1, 1.0, RSN176_IMPVALL.H_H-E13140.AT2, RSN176_IMPVALL.H_H-E13230.AT2 , RSN176_IMPVALL.H_H-E13-UP.AT2  
92, SRSS, 178, -, 1.0, 4.501, 5.1, 14.1, 1.2, "Imperial Valley-06", 1979, "El Centro Array #3", 6.53, strike slip, 10.79, 12.85, 162.94, 0.0625, 1.0, RSN178_IMPVALL.H_H-E03140.AT2, RSN178_IMPVALL.H_H-E03230.AT2 , RSN178_IMPVALL.H_H-E03-UP.AT2  
93, SRSS, 179, -, 1.0, 4.788, 3.4, 10.3, 1.4, "Imperial Valley-06", 1979, "El Centro Array #4", 6.53, strike slip, 4.9, 7.05, 208.91, 0.0625, 1.0, RSN179_IMPVALL.H_H-E04140.AT2, RSN179_IMPVALL.H_H-E04230.AT2 , RSN179_IMPVALL.H_H-E04-UP.AT2  
94, SRSS, 180, -, 1.0, 4.13, 3.8, 9.6, 1.7, "Imperial Valley-06", 1979, "El Centro Array #5", 6.53, strike slip, 1.76, 3.95, 205.63, 0.05, 1.0, RSN180_IMPVALL.H_H-E05140.AT2, RSN180_IMPVALL.H_H-E05230.AT2 , RSN180_IMPVALL.H_H-E05-UP.AT2  
95, SRSS, 181, -, 1.0, 3.773, 5.3, 11.5, 1.8, "Imperial Valley-06", 1979, "El Centro Array #6", 6.53, strike slip, 0.0, 1.35, 203.22, 0.0625, 1.0, RSN181_IMPVALL.H_H-E06140.AT2, RSN181_IMPVALL.H_H-E06230.AT2 , RSN181_IMPVALL.H_H-E06-UP.AT2  
96, SRSS, 182, -, 1.0, 4.375, 2.8, 6.8, 1.7, "Imperial Valley-06", 1979, "El Centro Array #7", 6.53, strike slip, 0.56, 0.56, 210.51, 0.075, 1.0, RSN182_IMPVALL.H_H-E07140.AT2, RSN182_IMPVALL.H_H-E07230.AT2 , RSN182_IMPVALL.H_H-E07-UP.AT2  
97, SRSS, 183, -, 1.0, -, 3.0, 6.8, 1.6, "Imperial Valley-06", 1979, "El Centro Array #8", 6.53, strike slip, 3.86, 3.86, 206.08, 0.0375, 1.0, RSN183_IMPVALL.H_H-E08140.AT2, RSN183_IMPVALL.H_H-E08230.AT2 , RSN183_IMPVALL.H_H-E08-UP.AT2  
98, SRSS, 184, -, 1.0, 6.265, 3.7, 7.0, 2.1, "Imperial Valley-06", 1979, "El Centro Differential Array", 6.53, strike slip, 5.09, 5.09, 202.26, 0.02875, 1.0, RSN184_IMPVALL.H_H-EDA270.AT2, RSN184_IMPVALL.H_H-EDA360.AT2 , RSN184_IMPVALL.H_H-EDA-UP.AT2  
99, SRSS, 185, -, 1.0, 4.823, 4.7, 12.8, 0.9, "Imperial Valley-06", 1979, "Holtville Post Office", 6.53, strike slip, 5.35, 7.5, 202.89, 0.075, 1.0, RSN185_IMPVALL.H_H-HVP225.AT2, RSN185_IMPVALL.H_H-HVP315.AT2 , RSN185_IMPVALL.H_H-HVP-UP.AT2  
100, SRSS, 186, -, 1.0, -, 12.0, 26.4, 0.2, "Imperial Valley-06", 1979, "Niland Fire Station", 6.53, strike slip, 35.64, 36.92, 212.0, 0.075, 1.0, RSN186_IMPVALL.H_H-NIL090.AT2, RSN186_IMPVALL.H_H-NIL360.AT2 , RSN186_IMPVALL.H_H-NIL-UP.AT2  

 These records were obtained from the NGA-West2 On-Line Ground-Motion Database Tool
 These records are UNSCALED, AS RECORDED
 Filename Extension: 
   ,AT2 = Acceleration
   ,VT2 = Velocity
   ,DT2 = Displacement
 The users of the NGA-West2 databases, flatfiles, models and reports are requested to acknowledge the Pacific Earthquake Engineering Research Center (PEER) in their work and publications.

 -- Scaled Spectra used in Search & Scaling --
Period (sec),Arithmetic Mean pSa (g),Arithmetic Mean + Sigma pSa (g),Arithmetic Mean - Sigma pSa (g),RSN-6 SRSS pSa (g),RSN-7 SRSS pSa (g),RSN-8 SRSS pSa (g),RSN-9 SRSS pSa (g),RSN-12 SRSS pSa (g),RSN-13 SRSS pSa (g),RSN-14 SRSS pSa (g),RSN-15 SRSS pSa (g),RSN-20 SRSS pSa (g),RSN-22 SRSS pSa (g),RSN-36 SRSS pSa (g),RSN-37 SRSS pSa (g),RSN-38 SRSS pSa (g),RSN-39 SRSS pSa (g),RSN-40 SRSS pSa (g),RSN-51 SRSS pSa (g),RSN-52 SRSS pSa (g),RSN-53 SRSS pSa (g),RSN-54 SRSS pSa (g),RSN-55 SRSS pSa (g),RSN-56 SRSS pSa (g),RSN-57 SRSS pSa (g),RSN-58 SRSS pSa (g),RSN-59 SRSS pSa (g),RSN-60 SRSS pSa (g),RSN-61 SRSS pSa (g),RSN-62 SRSS pSa (g),RSN-63 SRSS pSa (g),RSN-64 SRSS pSa (g),RSN-65 SRSS pSa (g),RSN-66 SRSS pSa (g),RSN-67 SRSS pSa (g),RSN-68 SRSS pSa (g),RSN-69 SRSS pSa (g),RSN-70 SRSS pSa (g),RSN-71 SRSS pSa (g),RSN-72 SRSS pSa (g),RSN-73 SRSS pSa (g),RSN-74 SRSS pSa (g),RSN-75 SRSS pSa (g),RSN-76 SRSS pSa (g),RSN-77 SRSS pSa (g),RSN-78 SRSS pSa (g),RSN-79 SRSS pSa (g),RSN-80 SRSS pSa (g),RSN-81 SRSS pSa (g),RSN-82 SRSS pSa (g),RSN-83 SRSS pSa (g),RSN-84 SRSS pSa (g),RSN-85 SRSS pSa (g),RSN-86 SRSS pSa (g),RSN-87 SRSS pSa (g),RSN-88 SRSS pSa (g),RSN-89 SRSS pSa (g),RSN-90 SRSS pSa (g),RSN-91 SRSS pSa (g),RSN-92 SRSS pSa (g),RSN-93 SRSS pSa (g),RSN-94 SRSS pSa (g),RSN-95 SRSS pSa (g),RSN-121 SRSS pSa (g),RSN-122 SRSS pSa (g),RSN-123 SRSS pSa (g),RSN-124 SRSS pSa (g),RSN-125 SRSS pSa (g),RSN-126 SRSS pSa (g),RSN-137 SRSS pSa (g),RSN-138 SRSS pSa (g),RSN-139 SRSS pSa (g),RSN-140 SRSS pSa (g),RSN-141 SRSS pSa (g),RSN-142 SRSS pSa (g),RSN-143 SRSS pSa (g),RSN-158 SRSS pSa (g),RSN-159 SRSS pSa (g),RSN-160 SRSS pSa (g),RSN-161 SRSS pSa (g),RSN-162 SRSS pSa (g),RSN-163 SRSS pSa (g),RSN-164 SRSS pSa (g),RSN-165 SRSS pSa (g),RSN-166 SRSS pSa (g),RSN-167 SRSS pSa (g),RSN-169 SRSS pSa (g),RSN-170 SRSS pSa (g),RSN-171 SRSS pSa (g),RSN-172 SRSS pSa (g),RSN-173 SRSS pSa (g),RSN-174 SRSS pSa (g),RSN-175 SRSS pSa (g),RSN-176 SRSS pSa (g),RSN-178 SRSS pSa (g),RSN-179 SRSS pSa (g),RSN-180 SRSS pSa (g),RSN-181 SRSS pSa (g),RSN-182 SRSS pSa (g),RSN-183 SRSS pSa (g),RSN-184 SRSS pSa (g),RSN-185 SRSS pSa (g),RSN-186 SRSS pSa (g)
0.01,0.23681149,0.79476451,0.07056138,0.35244861,0.07493114,0.16731076,0.08025261,0.07262072,0.07210871,0.16046622,0.24246551,0.26105111,0.06174387,0.14599206,0.01713259,0.01356099,0.01249923,0.06280106,0.04889673,0.04583713,0.00998754,0.01301616,0.01709792,0.10076352,0.42959553,0.03672721,0.02536015,0.00621546,0.00770549,0.04979924,0.13497506,0.03327476,0.13404465,0.05710504,0.01131374,0.30656151,0.04099106,0.19027353,0.48585593,0.25398795,0.22589197,0.01264928,0.01522547,0.013029,1.76481926,0.19137627,0.14864017,0.22875787,0.17603983,0.03747499,0.09485147,0.00750413,0.05557694,0.02061638,0.27424478,0.22013528,0.058621,0.02485841,0.10019916,0.04182134,0.14840668,0.07129409,0.49723738,0.04204281,0.11007502,0.08515868,0.0514698,0.4782703,1.22063907,0.11515276,0.13659387,0.53117272,0.1421111,0.0487703,0.03872496,1.2261096,0.41627474,0.34743322,0.98515469,0.27512173,0.34396854,0.15119506,0.2315309,0.37354042,0.17277207,0.2431216,0.4282503,0.31768968,0.43546391,0.19683866,0.28959278,0.52787442,0.18706155,0.18232062,0.34846269,0.61069002,0.65427602,0.64925391,0.58030703,0.77246759,0.59782224,0.34061277,0.12971913
0.02,0.24822255,0.87639852,0.07030413,0.35127055,0.07531831,0.16781094,0.0807969,0.07283048,0.07178594,0.15973219,0.24135757,0.26201828,0.06205913,0.14485362,0.01716622,0.01358172,0.0125071,0.06319282,0.04903634,0.04711859,0.01001756,0.0131098,0.01720498,0.10171134,0.42633642,0.03698907,0.02519895,0.00630747,0.00775644,0.05004295,0.13731374,0.0336366,0.13858674,0.05920603,0.01137475,0.34134292,0.04113298,0.19083576,0.55543035,0.25237039,0.22433698,0.0127575,0.01530473,0.0131569,1.85502051,0.18980909,0.15084009,0.2267008,0.1811507,0.03768331,0.09544379,0.00759437,0.0551194,0.02075844,0.27484965,0.22524893,0.06472894,0.02505761,0.09912592,0.04327795,0.15008623,0.07216387,0.50323439,0.04354056,0.11048253,0.08549753,0.05315495,0.48741939,1.47937326,0.1164394,0.13745384,0.53352852,0.14299198,0.04901691,0.03887102,1.23563695,0.45529308,0.35397031,1.0796385,0.27857765,0.34538267,0.15805734,0.23291562,0.37208933,0.17414818,0.23875466,0.42556564,0.32029911,0.43943143,0.20191937,0.2946976,0.53289221,0.19237286,0.18493395,0.35096938,0.62151278,0.68705028,1.01387502,0.58553015,0.79825425,0.60051574,0.3469707,0.13143797
0.022,0.25303479,0.90314547,0.07089291,0.35145621,0.07547521,0.16793361,0.08114384,0.07290508,0.07180535,0.15978457,0.24179818,0.26211709,0.06217683,0.14505389,0.01717897,0.01358279,0.01251366,0.06330754,0.04893061,0.04779642,0.01002586,0.0132329,0.01724036,0.10219858,0.43475634,0.03713038,0.02513024,0.0063518,0.00776627,0.05011248,0.14273048,0.03381088,0.14245523,0.0597526,0.011389,0.35836851,0.04121066,0.1908419,0.55805646,0.26173054,0.24317099,0.01280037,0.01531472,0.01320493,1.92611045,0.18720323,0.15024891,0.23367502,0.18984756,0.03751777,0.09427335,0.00768643,0.05620491,0.02078314,0.28915455,0.22643756,0.0635236,0.02506736,0.09970242,0.0435223,0.15072632,0.07205632,0.51635254,0.04582501,0.11052004,0.08557668,0.05456762,0.49496213,1.44454066,0.1219663,0.14034367,0.56205113,0.14718172,0.04925924,0.04001232,1.26745701,0.47475349,0.35237817,1.14071449,0.27634739,0.34938104,0.15822684,0.23057368,0.37136404,0.17432618,0.23922155,0.42901451,0.32115838,0.44044865,0.20901101,0.30096097,0.54243529,0.19340527,0.18664744,0.35652075,0.63271203,0.70109604,1.12685238,0.58955984,0.78964455,0.60125666,0.34584208,0.1315269
0.025,0.26359379,0.98641607,0.07043852,0.35173777,0.07563472,0.16826156,0.08164364,0.07299318,0.07183327,0.15987178,0.24264101,0.26281222,0.06242102,0.14533798,0.01720132,0.01359411,0.01251441,0.06370752,0.04920358,0.04814027,0.01002857,0.01353543,0.01728354,0.10277978,0.4309746,0.03717714,0.02597498,0.00631511,0.00779609,0.05017044,0.15779982,0.03413551,0.14716859,0.06120039,0.0114144,0.40683993,0.041277,0.19458011,0.5628928,0.27414216,0.29318708,0.01286592,0.0152959,0.01327375,2.05558503,0.1924198,0.15293897,0.2369669,0.21286704,0.03802052,0.09553549,0.00778782,0.05696245,0.02086461,0.30009884,0.22979508,0.06688594,0.02516394,0.10095158,0.0444344,0.15135735,0.07236275,0.53616916,0.04867976,0.11180396,0.08580792,0.05572793,0.4928253,1.72167409,0.11799327,0.14391261,0.57401125,0.14779335,0.04976762,0.03951607,1.33160559,0.54101647,0.38113025,1.25765743,0.28338202,0.34984591,0.16044321,0.23270353,0.3774311,0.17352525,0.2396928,0.43621492,0.32340281,0.44080432,0.21255885,0.30806003,0.54582563,0.19169324,0.18779557,0.35925042,0.62520621,0.72654873,1.19003948,0.60366262,0.78208342,0.60668058,0.34501336,0.13176628
0.029,0.27534084,1.07855064,0.07029117,0.35217941,0.07595257,0.1691234,0.08192593,0.07321709,0.07188675,0.16001824,0.24402617,0.26307889,0.0628062,0.14578768,0.01723617,0.01363076,0.01251039,0.06397515,0.05000778,0.04879258,0.01007001,0.01325151,0.01733659,0.10343537,0.44850814,0.03756836,0.02769155,0.00631892,0.0078471,0.05034745,0.1668586,0.03420479,0.15031505,0.06093808,0.01146722,0.44014309,0.04124139,0.19770603,0.55460784,0.29919095,0.31256272,0.01293329,0.01555227,0.01347547,2.13241184,0.20348175,0.15724949,0.22893307,0.20525536,0.03998878,0.10415433,0.008165,0.05968468,0.02098354,0.31996142,0.23351782,0.07061636,0.02571916,0.10321952,0.04435126,0.15308476,0.07291566,0.53371117,0.05191261,0.1120104,0.08605341,0.0563546,0.49362602,2.04734084,0.11595401,0.1373391,0.56907422,0.14241967,0.05015414,0.03951597,1.30458782,0.66362716,0.46886679,1.38124629,0.28624548,0.35290266,0.17104145,0.24500493,0.38745624,0.17492386,0.24181332,0.44476194,0.32402286,0.44467924,0.20782953,0.3041268,0.53805715,0.1938459,0.19107076,0.35085768,0.64695788,0.74894058,1.28467873,0.60095571,0.93087417,0.60762626,0.34682335,0.13137304
0.03,0.27680082,1.07568188,0.07122802,0.35231458,0.07611267,0.16920774,0.08221552,0.07326084,0.07191043,0.16005223,0.24436734,0.26328461,0.06288006,0.14593062,0.01724482,0.01364407,0.01252026,0.06437472,0.05022074,0.0489487,0.01007951,0.01332464,0.01734829,0.10340228,0.45031113,0.03761066,0.0285794,0.00632265,0.00783118,0.05042524,0.16878957,0.03466518,0.15287798,0.06110648,0.01148164,0.43834324,0.04132434,0.19937796,0.54234398,0.31874159,0.32898921,0.01297299,0.01560519,0.01350609,2.08816817,0.20809948,0.15936895,0.23088755,0.2037657,0.04020676,0.10617034,0.00829375,0.06116524,0.02098172,0.32177448,0.23335437,0.06896963,0.02580088,0.10213325,0.04534166,0.15359491,0.07289862,0.53635242,0.05386982,0.11225655,0.08614428,0.05686706,0.49969528,2.04343542,0.1146185,0.13904221,0.5659556,0.14518275,0.04999317,0.03968125,1.30403875,0.69159995,0.5007134,1.40261754,0.28946541,0.35237743,0.1700552,0.24715405,0.39139003,0.17386865,0.24241357,0.4430833,0.32349189,0.44793708,0.21632785,0.30735188,0.53495038,0.19349506,0.18940081,0.34877164,0.63784836,0.75063505,1.32729919,0.59743074,0.93207859,0.61518435,0.3499622,0.13121955
0.032,0.27974222,1.07970675,0.07247867,0.35262349,0.07643569,0.16943657,0.08280257,0.07336271,0.07195676,0.16012068,0.24522521,0.26449042,0.06319895,0.14628771,0.01725573,0.0136573,0.01253692,0.06490446,0.05061514,0.04916494,0.01006617,0.01374279,0.01739728,0.10323817,0.46675334,0.03760811,0.03057474,0.00640918,0.00789405,0.05055425,0.16920695,0.03532495,0.15759871,0.06012478,0.01150236,0.43524165,0.0415669,0.19935239,0.57697452,0.32191353,0.35750328,0.01297313,0.01570765,0.01359849,2.09516146,0.21532756,0.16397771,0.2307168,0.20685018,0.04174631,0.10926152,0.00832334,0.06211909,0.0211103,0.35408568,0.23264089,0.07281877,0.02568842,0.10109044,0.04421688,0.1541421,0.07168795,0.53432349,0.05160337,0.1133654,0.08624053,0.05734037,0.51519422,2.03543545,0.12030798,0.1385907,0.5419833,0.14255404,0.04834847,0.03965825,1.27346562,0.69126359,0.51992659,1.44332361,0.29836907,0.35845506,0.16863068,0.2567307,0.39285669,0.17400387,0.24286626,0.4350679,0.3261053,0.45113562,0.22235473,0.30965296,0.54107574,0.19592717,0.18834885,0.35311975,0.6401832,0.78372063,1.34520433,0.58668851,0.95019093,0.62828188,0.36293716,0.13152206
0.035,0.27997225,1.07193632,0.07312418,0.35309807,0.0769094,0.16910648,0.08329634,0.07369329,0.07200194,0.16016331,0.24622219,0.26456938,0.06362981,0.14683444,0.01728283,0.01366908,0.01256676,0.06495397,0.0512373,0.04966638,0.01011914,0.01387956,0.01751928,0.10239137,0.48939534,0.03806383,0.02881673,0.00699133,0.00792932,0.05077094,0.18059671,0.03693109,0.15870997,0.06325629,0.01153194,0.41969735,0.04220042,0.19975962,0.56531851,0.31104966,0.38549141,0.01311588,0.01569618,0.01385269,2.03791391,0.21370464,0.15683418,0.23448908,0.19845771,0.0418671,0.11020404,0.00823286,0.0604997,0.02126176,0.31331352,0.23415305,0.07822316,0.02633935,0.10184901,0.0463455,0.15619799,0.07562527,0.53646362,0.0518088,0.11474613,0.08620685,0.05611623,0.53725455,2.10748394,0.12119365,0.13709867,0.52526655,0.14822361,0.04979205,0.03844423,1.27935246,0.76750443,0.4975524,1.45189395,0.31370962,0.36022606,0.17305351,0.25625853,0.37690022,0.17493634,0.24172987,0.44057972,0.33929638,0.45069643,0.22752216,0.30130729,0.5472849,0.2003249,0.19022331,0.35676046,0.69012858,0.82142286,1.17350439,0.58826197,0.92907242,0.63655651,0.3510797,0.13248943
0.036,0.28205827,1.08163708,0.07355228,0.35328451,0.07705774,0.16914473,0.08345682,0.07374581,0.07201796,0.16017816,0.24643646,0.26645797,0.06368947,0.14705368,0.01729154,0.01370946,0.01258989,0.06514846,0.05128422,0.04925525,0.0101259,0.01378797,0.01756145,0.10212105,0.49305727,0.03823461,0.02815645,0.00693237,0.00788635,0.05073109,0.182322,0.03710257,0.1595869,0.06395173,0.01153899,0.40720221,0.0424647,0.19724777,0.56787362,0.32316493,0.38926416,0.01320851,0.01570371,0.01397049,2.10807168,0.21035585,0.16530297,0.23768235,0.21102383,0.04195373,0.1099857,0.00823565,0.05891226,0.0213421,0.31746383,0.23695684,0.08278297,0.02689559,0.10191447,0.04775406,0.15666218,0.07565647,0.54275259,0.05721084,0.11554858,0.08617849,0.05604879,0.54272585,2.09707687,0.11966472,0.13771594,0.52432911,0.1501363,0.04993346,0.03862784,1.28341675,0.77307369,0.53618882,1.45550525,0.31732693,0.35967506,0.17347544,0.25215972,0.3838216,0.17544363,0.24314145,0.45217331,0.34163428,0.44868851,0.22443814,0.29904401,0.54265148,0.19993539,0.19309408,0.35788573,0.72137527,0.81722418,1.12869579,0.590631,0.96244161,0.63971259,0.3480647,0.13300798
0.04,0.28399557,1.05923441,0.07614319,0.35419141,0.07740895,0.17149912,0.0844158,0.07423021,0.07204942,0.16022073,0.24835029,0.26986864,0.06381206,0.14812206,0.01733572,0.01382514,0.01258055,0.06613169,0.05146773,0.05114239,0.0102516,0.01386842,0.01762498,0.10426006,0.4742935,0.03885567,0.03123309,0.00845176,0.00807865,0.05041787,0.17470068,0.03735067,0.16710614,0.06306968,0.01159713,0.395366,0.04272836,0.19319722,0.58428551,0.3513458,0.41388462,0.01342931,0.01600361,0.01450673,2.27204266,0.21030215,0.18122393,0.24054575,0.22641449,0.04063269,0.10592084,0.00840888,0.06389104,0.02160675,0.37751031,0.26220113,0.09338302,0.02755419,0.10564861,0.04971097,0.16083228,0.08210734,0.57744313,0.06502322,0.1213427,0.08622202,0.0616764,0.53847427,1.85886459,0.11859182,0.14061498,0.52794228,0.1471474,0.0499556,0.03903388,1.29735123,0.69434723,0.50323897,1.43329716,0.32298426,0.37519609,0.17010493,0.26221753,0.39692797,0.17589099,0.24643447,0.48358092,0.3483781,0.44405565,0.27442956,0.30033994,0.5403038,0.20598253,0.20081565,0.37356696,0.75273243,0.87538559,0.98637243,0.58311319,0.95837444,0.65963372,0.36467731,0.13499572
