
 PEER Ground Motion Database, Time Series Search Report -- NGA-West2 -- 2024-03-04


 -- Summary of PEER Ground Motion Database Search Criteria --
Magnitude Min:, 6.24
Magnitude Max:, 7.68
Rrup Min (km):, -1.0e-06
Rrup Max (km):, 99999
Rjb Min (km):, -1.0e-06
Rjb Max (km):, 99999
Vs30 Min (m/sec):, -1.0e-06
Vs30 Max (m/sec):, 99999
D9-95 Min (sec):, -1.0e-06
D9-95 Max (sec):, 99999
Scale Factor Min:, -1.0e-06
Scale Factor Max:, 99999
Period Array:, 
Weight Array:, 
Record Sequence Number:, 
Earthquake Name:, 
Station Name:, 
User-Defined Maximum Number of Records:, 
Pulse:, 1
Damping Ratio:, 0.05
Scaling Method:, No Scaling
Suite Average:, Arithmetic
Single-Period-Scaling Period (sec):, 
Component:, SRSS
Fault Type:, All Types


 -- Summary of Metadata of Selected Records --
Result ID, Spectral Ordinate, Record Sequence Number, Mean Squared Error, Scale Factor, Tp-Pulse Period (sec), 5-75% Duration (sec), 5-95% Duration (sec), Arias Intensity (m/sec), Earthquake Name, Year, Station Name, Magnitude, Mechanism, Rjb (km), Rrup (km), Vs30 (m/sec), Lowest Useable Frequency (Hz), Initial-search Scale Factor, Horizontal-1 Acc. Filename, Horizontal-2 Acc. Filename, Vertical Acc. Filename
26, SRSS, 61, -, 1.0, -, 16.9, 23.7, 0.0, "San Fernando", 1971, "Cholame - Shandon Array #8", 6.61, Reverse, 218.17, 218.75, 256.82, 0.125, 1.0, RSN61_SFERN_C08051.AT2, RSN61_SFERN_C08321.AT2 ,  -----   
27, SRSS, 62, -, 1.0, -, 5.1, 7.3, 0.0, "San Fernando", 1971, "Colton - So Cal Edison", 6.61, Reverse, 96.81, 96.81, 301.95, 0.125, 1.0, RSN62_SFERN_CLN090.AT2, RSN62_SFERN_CLN180.AT2 , RSN62_SFERN_CLN-UP.AT2  
28, SRSS, 63, -, 1.0, -, 3.6, 14.4, 0.1, "San Fernando", 1971, "Fairmont Dam", 6.61, Reverse, 25.58, 30.19, 634.33, 0.1875, 1.0, RSN63_SFERN_FTR056.AT2, RSN63_SFERN_FTR326.AT2 , RSN63_SFERN_FTR-UP.AT2  
29, SRSS, 64, -, 1.0, -, 5.0, 8.3, 0.0, "San Fernando", 1971, "Fort Tejon", 6.61, Reverse, 59.52, 61.64, 394.18, 0.125, 1.0, RSN64_SFERN_FTJ000.AT2, RSN64_SFERN_FTJ090.AT2 , RSN64_SFERN_FTJ-UP.AT2  
30, SRSS, 65, -, 1.0, -, 4.1, 7.2, 0.1, "San Fernando", 1971, "Gormon - Oso Pump Plant", 6.61, Reverse, 43.95, 46.78, 308.35, 0.125, 1.0, RSN65_SFERN_OPP000.AT2, RSN65_SFERN_OPP270.AT2 , RSN65_SFERN_OPP-UP.AT2  
31, SRSS, 66, -, 1.0, -, 9.4, 23.9, 0.0, "San Fernando", 1971, "Hemet Fire Station", 6.61, Reverse, 139.14, 139.14, 328.09, 0.5, 1.0, RSN66_SFERN_H05135.AT2, RSN66_SFERN_H05225.AT2 , RSN66_SFERN_H05DWN.AT2  
32, SRSS, 67, -, 1.0, -, 20.2, 26.5, 0.0, "San Fernando", 1971, "Isabella Dam (Aux Abut)", 6.61, Reverse, 130.0, 130.98, 591.0, 0.125, 1.0, RSN67_SFERN_ISD014.AT2, RSN67_SFERN_ISD284.AT2 , RSN67_SFERN_ISDDWN.AT2  
33, SRSS, 68, -, 1.0, -, 5.2, 13.4, 0.7, "San Fernando", 1971, "LA - Hollywood Stor FF", 6.61, Reverse, 22.77, 22.77, 316.46, 0.1, 1.0, RSN68_SFERN_PEL090.AT2, RSN68_SFERN_PEL180.AT2 , RSN68_SFERN_PEL-UP.AT2  
34, SRSS, 69, -, 1.0, -, 41.5, 52.4, 0.1, "San Fernando", 1971, "LB - Terminal Island", 6.61, Reverse, 58.99, 58.99, 217.92, 0.125, 1.0, RSN69_SFERN_TLI249.AT2, RSN69_SFERN_TLI339.AT2 , RSN69_SFERN_TLI-UP.AT2  
35, SRSS, 70, -, 1.0, -, 8.0, 18.4, 0.3, "San Fernando", 1971, "Lake Hughes #1", 6.61, Reverse, 22.23, 27.4, 425.34, 0.15, 1.0, RSN70_SFERN_L01021.AT2, RSN70_SFERN_L01111.AT2 , RSN70_SFERN_L01DWN.AT2  
36, SRSS, 71, -, 1.0, -, 2.8, 12.0, 0.9, "San Fernando", 1971, "Lake Hughes #12", 6.61, Reverse, 13.99, 19.3, 602.1, 0.25, 1.0, RSN71_SFERN_L12021.AT2, RSN71_SFERN_L12291.AT2 , RSN71_SFERN_L12DWN.AT2  
37, SRSS, 72, -, 1.0, -, 4.2, 13.0, 0.3, "San Fernando", 1971, "Lake Hughes #4", 6.61, Reverse, 19.45, 25.07, 600.06, 0.25, 1.0, RSN72_SFERN_L04111.AT2, RSN72_SFERN_L04201.AT2 , RSN72_SFERN_L04DWN.AT2  
38, SRSS, 73, -, 1.0, -, 3.0, 11.8, 0.2, "San Fernando", 1971, "Lake Hughes #9", 6.61, Reverse, 17.22, 22.57, 670.84, 0.625, 1.0, RSN73_SFERN_L09021.AT2, RSN73_SFERN_L09291.AT2 , RSN73_SFERN_L09DWN.AT2  
39, SRSS, 74, -, 1.0, -, 18.2, 29.6, 0.0, "San Fernando", 1971, "Maricopa Array #1", 6.61, Reverse, 193.25, 193.91, 303.79, 0.125, 1.0, RSN74_SFERN_MA1130.AT2, RSN74_SFERN_MA1220.AT2 , RSN74_SFERN_MA1DWN.AT2  
40, SRSS, 75, -, 1.0, -, 14.3, 22.4, 0.0, "San Fernando", 1971, "Maricopa Array #2", 6.61, Reverse, 108.56, 109.73, 443.85, 0.25, 1.0, RSN75_SFERN_MA2130.AT2, RSN75_SFERN_MA2220.AT2 , RSN75_SFERN_MA2DWN.AT2  
41, SRSS, 76, -, 1.0, -, 16.6, 23.4, 0.0, "San Fernando", 1971, "Maricopa Array #3", 6.61, Reverse, 109.01, 110.18, 441.25, 0.25, 1.0, RSN76_SFERN_MA3130.AT2, RSN76_SFERN_MA3220.AT2 , RSN76_SFERN_MA3DWN.AT2  
42, SRSS, 77, -, 1.0, 1.638, 5.8, 7.3, 8.9, "San Fernando", 1971, "Pacoima Dam (upper left abut)", 6.61, Reverse, 0.0, 1.81, 2016.13, 0.0875, 1.0, RSN77_SFERN_PUL164.AT2, RSN77_SFERN_PUL254.AT2 , RSN77_SFERN_PULDWN.AT2  
